Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Molecular Weight	Chromosome	PFam ID	Protein Length	Ortholog count	Paralog count	PFam Description	CDD ID	Gene3D ID	Hamap ID	NCBIfam ID	PANTHER ID	PRINTS ID	SFLD ID	CDD Description	Gene3D Description	Hamap Description	NCBIfam Description	PANTHER Description	PRINTS Description	SFLD Description	PirSF ID	PirSF Description	Prositefamilies ID	Prositefamilies Description	Smart ID	Smart Description	Superfamily ID	Superfamily Description	InterPro ID	InterPro Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
B9J08_001985	B9J08_001985-t37_1	Candida auris strain B8441	PEKT02000005:92,448..94,925(-)	Glycosyl hydrolase family 3 C-terminal domain | Fibronectin type III-like domain | Glycosyl hydrolase family 3 N terminal domain | domain-containing protein	90968	Not Assigned	PF00933, PF01915, PF14310	825	3615	3	Glycosyl hydrolase family 3 N terminal domain	N/A	G3DSA:2.60.120.260, G3DSA:2.60.40.10, G3DSA:3.20.20.300, G3DSA:3.40.50.1700	N/A	N/A	N/A	PR00133	N/A	N/A	Immunoglobulins	N/A	N/A	N/A	Glycosyl hydrolase family 3 signature	N/A	N/A	N/A	PS51820	PA14 domain profile.	SM01217	Fn3_like_2	SSF51445, SSF52279	(Trans)glycosidases	-, IPR001764, IPR002772, IPR013783, IPR017853, IPR026891, IPR036881, IPR036962, IPR037524	(Trans)glycosidases	N/A	N/A	GO:0008422;GO:0004553;GO:0004553;GO:0004553;GO:0102483	beta-glucosidase activity;hydrolase activity, hydrolyzing O-glycosyl compounds;hydrolase activity, hydrolyzing O-glycosyl compounds;hydrolase activity, hydrolyzing O-glycosyl compounds;obsolete scopolin beta-glucosidase activity	GO:0005975;GO:0005975;GO:0005975	carbohydrate metabolic process;carbohydrate metabolic process;carbohydrate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	3.2.1.21 (beta-glucosidase)	N/A
B9J08_001986	B9J08_001986-t37_1	Candida auris strain B8441	PEKT02000005:96,299..96,604(-)	hypothetical protein	10968	Not Assigned	N/A	101	176	0	N/A	N/A	G3DSA:3.30.390.10	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR029017	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.90 (L-rhamnonate dehydratase)	N/A
B9J08_001987	B9J08_001987-t37_1	Candida auris strain B8441	PEKT02000005:97,456..99,141(+)	FMN-dependent dehydrogenase | Cytochrome b5-like Heme/Steroid binding domain | domain-containing protein	61465	Not Assigned	PF00173, PF01070	561	2382	2	FMN-dependent dehydrogenase	cd02922	G3DSA:3.10.120.10, G3DSA:3.20.20.70	N/A	N/A	N/A	N/A	N/A	FCB2_FMN	Aldolase class I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50255, PS51349	FMN-dependent alpha-hydroxy acid dehydrogenase domain profile.	SM01117	Cyt_b5_2	SSF51395, SSF55856	FMN-linked oxidoreductases	-, IPR000262, IPR001199, IPR013785, IPR036400, IPR037396, IPR037458	FMN-linked oxidoreductases	N/A	N/A	GO:0003824;GO:0003824;GO:0020037;GO:0020037;GO:0020037;GO:0046872;GO:0016491;GO:0016491;GO:0016491	catalytic activity;catalytic activity;heme binding;heme binding;heme binding;metal ion binding;oxidoreductase activity;oxidoreductase activity;oxidoreductase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.2.3 (L-lactate dehydrogenase (cytochrome))	N/A
B9J08_001988	B9J08_001988-t37_1	Candida auris strain B8441	PEKT02000005:100,201..100,641(+)	hypothetical protein	16973	Not Assigned	N/A	146	14	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001989	B9J08_001989-t37_1	Candida auris strain B8441	PEKT02000005:101,388..102,937(-)	UTP-glucose-1-phosphate uridylyltransferase	55661	Not Assigned	PF01704	498	564	0	UTP--glucose-1-phosphate uridylyltransferase	cd00897	G3DSA:2.160.10.10, G3DSA:3.90.550.10	N/A	N/A	N/A	N/A	N/A	UGPase_euk	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	N/A	N/A	N/A	N/A	N/A	PIRSF000806	UDPGP	N/A	N/A	N/A	N/A	SSF53448	Nucleotide-diphospho-sugar transferases	-, IPR002618, IPR016267, IPR029044	UTP--glucose-1-phosphate uridylyltransferase	GO:0010494;GO:0010494	cytoplasmic stress granule;cytoplasmic stress granule	GO:0070569;GO:0070569;GO:0070569;GO:0003983;GO:0003983;GO:0003983	uridylyltransferase activity;uridylyltransferase activity;uridylyltransferase activity;UTP:glucose-1-phosphate uridylyltransferase activity;UTP:glucose-1-phosphate uridylyltransferase activity;UTP:glucose-1-phosphate uridylyltransferase activity	GO:0006078;GO:0006078;GO:0005978;GO:0005978;GO:0005992;GO:0005992;GO:0006011;GO:0006011;GO:0006011	(1->6)-beta-D-glucan biosynthetic process;(1->6)-beta-D-glucan biosynthetic process;glycogen biosynthetic process;glycogen biosynthetic process;trehalose biosynthetic process;trehalose biosynthetic process;UDP-alpha-D-glucose metabolic process;UDP-alpha-D-glucose metabolic process;UDP-alpha-D-glucos	N/A	N/A	N/A	N/A	N/A	N/A	2.7.7.9 (UTP--glucose-1-phosphate uridylyltransferase)	N/A
B9J08_001990	B9J08_001990-t37_1	Candida auris strain B8441	PEKT02000005:105,277..105,361(+)	tRNA-Leu	N/A	Not Assigned	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001991	B9J08_001991-t37_1	Candida auris strain B8441	PEKT02000005:105,582..106,835(+)	nicotinate phosphoribosyltransferase	47448	Not Assigned	PF04095, PF17767	417	290	0	Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain	cd01401	G3DSA:3.20.140.10	MF_00570	N/A	N/A	N/A	N/A	PncB_like	nicotinate phosphoribosyltransferase	Nicotinate phosphoribosyltransferase [pncB].	N/A	N/A	N/A	N/A	PIRSF000484	NAPRT	N/A	N/A	N/A	N/A	SSF51690, SSF54675	Nicotinate/Quinolinate PRTase N-terminal domain-like	-, IPR006406, IPR007229, IPR036068, IPR040727, IPR041525	PncB_like	GO:0005737;GO:0005737;GO:0005634;GO:0005634	cytoplasm;cytoplasm;nucleus;nucleus	GO:0004516;GO:0004516;GO:0004516	nicotinate phosphoribosyltransferase activity;nicotinate phosphoribosyltransferase activity;nicotinate phosphoribosyltransferase activity	GO:0009435;GO:0009435;GO:0009435;GO:0019358;GO:0019358;GO:0000183;GO:0000183	NAD+ biosynthetic process;NAD+ biosynthetic process;NAD+ biosynthetic process;nicotinate nucleotide salvage;nicotinate nucleotide salvage;rDNA heterochromatin formation;rDNA heterochromatin formation	N/A	N/A	N/A	N/A	N/A	N/A	6.3.4.21 (nicotinate phosphoribosyltransferase)	N/A
B9J08_001992	B9J08_001992-t37_1	Candida auris strain B8441	PEKT02000005:107,012..109,975(+)	Importin-beta N-terminal domain | domain-containing protein	113694	Not Assigned	PF03810	987	543	0	Importin-beta N-terminal domain	N/A	G3DSA:1.25.10.10	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50166	Importin-beta N-terminal domain profile.	SM00913	IBN_N_2	SSF48371	ARM repeat	IPR001494, IPR011989, IPR016024	Importin-beta N-terminal domain profile.	GO:0005737;GO:0005737;GO:0072686;GO:0072686;GO:0034399;GO:0034399;GO:0005643;GO:0005643;GO:0005634;GO:0005634	cytoplasm;cytoplasm;mitotic spindle;mitotic spindle;nuclear periphery;nuclear periphery;nuclear pore;nuclear pore;nucleus;nucleus	GO:0008139;GO:0008139;GO:0031267;GO:0031267;GO:0031267	nuclear localization sequence binding;nuclear localization sequence binding;small GTPase binding;small GTPase binding;small GTPase binding	GO:0006886;GO:0016973;GO:0016973;GO:0006606;GO:0006606	intracellular protein transport;poly(A)+ mRNA export from nucleus;poly(A)+ mRNA export from nucleus;protein import into nucleus;protein import into nucleus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001993	B9J08_001993-t37_1	Candida auris strain B8441	PEKT02000005:110,113..110,913(+)	Cytochrome c oxidase assembly protein CtaG/Cox11 | domain-containing protein	30628	Not Assigned	PF04442	266	536	0	Cytochrome c oxidase assembly protein CtaG/Cox11	N/A	G3DSA:2.60.370.10	MF_00155	N/A	N/A	N/A	N/A	N/A	Ctag/Cox11	Cytochrome c oxidase assembly protein CtaG [ctaG].	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF110111	Ctag/Cox11	-, IPR007533, IPR023471	Cytochrome c oxidase assembly protein CtaG [ctaG].	GO:0005740;GO:0005740;GO:0005743;GO:0005743;GO:0005743;GO:0005758;GO:0005758;GO:0005761;GO:0005761	mitochondrial envelope;mitochondrial envelope;mitochondrial inner membrane;mitochondrial inner membrane;mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial intermembrane space;mitochondrial ribosome;mitochondrial ribosome	GO:0005507;GO:0005507;GO:0005507	copper ion binding;copper ion binding;copper ion binding	GO:0009060;GO:0009060	aerobic respiration;aerobic respiration	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.9.3.1 (Transferred entry: 7.1.1.9)
B9J08_001994	B9J08_001994-t37_1	Candida auris strain B8441	PEKT02000005:111,087..112,244(+)	Protein prenyltransferase alpha subunit repeat | domain-containing protein	43755	Not Assigned	PF01239	369	720	0	Protein prenyltransferase alpha subunit repeat	N/A	G3DSA:1.25.40.120	N/A	N/A	N/A	N/A	N/A	N/A	Protein prenylyltransferase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS51147	Protein prenyltransferases alpha subunit repeat profile.	N/A	N/A	SSF48439	Protein prenylyltransferase	-, IPR002088	Protein prenylyltransferase	GO:0005777;GO:0005777;GO:0005968;GO:0005968	peroxisome;peroxisome;Rab-protein geranylgeranyltransferase complex;Rab-protein geranylgeranyltransferase complex	GO:0008318;GO:0004663;GO:0004663;GO:0004663	protein prenyltransferase activity;Rab geranylgeranyltransferase activity;Rab geranylgeranyltransferase activity;Rab geranylgeranyltransferase activity	GO:0006888;GO:0006888;GO:0018344;GO:0018344;GO:0018342;GO:0006612;GO:0006612	endoplasmic reticulum to Golgi vesicle-mediated transport;endoplasmic reticulum to Golgi vesicle-mediated transport;protein geranylgeranylation;protein geranylgeranylation;protein prenylation;protein targeting to membrane;protein targeting to membrane	N/A	N/A	N/A	N/A	N/A	N/A	2.5.1.60 (protein geranylgeranyltransferase type II)	N/A
B9J08_001995	B9J08_001995-t37_1	Candida auris strain B8441	PEKT02000005:112,456..113,220(+)	Glutathione S-transferase, N-terminal domain | Glutathione S-transferase, C-terminal domain | domain-containing protein	29859	Not Assigned	PF13409, PF14497	254	463	2	Glutathione S-transferase, N-terminal domain	cd03046	G3DSA:1.20.1050.10, G3DSA:3.40.30.10	N/A	N/A	N/A	N/A	SFLDG00358, SFLDS00019	GST_N_GTT1_like	Glutaredoxin	N/A	N/A	N/A	N/A	Main (cytGST)	N/A	N/A	PS50404, PS50405	Soluble glutathione S-transferase N-terminal domain profile.	N/A	N/A	SSF47616, SSF52833	Thioredoxin-like	-, IPR004045, IPR004046, IPR010987, IPR036249, IPR036282, IPR040079	Thioredoxin-like	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.5.1.18 (glutathione transferase)
B9J08_001996	B9J08_001996-t37_1	Candida auris strain B8441	PEKT02000005:113,317..114,567(-)	Taurine catabolism dioxygenase TauD, TfdA family | domain-containing protein	47080	Not Assigned	PF02668	416	1584	4	Taurine catabolism dioxygenase TauD, TfdA family	N/A	G3DSA:3.60.130.10	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF51197	Clavaminate synthase-like	-, IPR003819, IPR042098	Taurine catabolism dioxygenase TauD, TfdA family	N/A	N/A	GO:0016491;GO:0016491;GO:0016491	oxidoreductase activity;oxidoreductase activity;oxidoreductase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001997	B9J08_001997-t37_1	Candida auris strain B8441	PEKT02000005:114,921..116,273(-)	Glycolipid 2-alpha-mannosyltransferase | domain-containing protein	52596	Not Assigned	PF01793	450	1196	5	Glycolipid 2-alpha-mannosyltransferase	N/A	G3DSA:3.90.550.10	N/A	N/A	N/A	N/A	N/A	N/A	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	N/A	N/A	N/A	N/A	N/A	PIRSF018153	Glycolip_mannosyltransf_fung	N/A	N/A	N/A	N/A	SSF53448	Nucleotide-diphospho-sugar transferases	-, IPR002685, IPR029044	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	GO:0016020;GO:0016020;GO:0016020	membrane;membrane;membrane	GO:0000030;GO:0000030;GO:0000030	mannosyltransferase activity;mannosyltransferase activity;mannosyltransferase activity	GO:0006486;GO:0006486;GO:0006486	obsolete protein glycosylation;obsolete protein glycosylation;obsolete protein glycosylation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.4.1.131 (GDP-Man:Man3GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase)
B9J08_001998	B9J08_001998-t37_1	Candida auris strain B8441	PEKT02000005:116,510..118,819(-)	OPT family small oligopeptide transporter	87603	Not Assigned	PF03169	769	1539	11	OPT oligopeptide transporter protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR004813	OPT oligopeptide transporter protein	N/A	N/A	GO:0035673;GO:0035673;GO:0035673	oligopeptide transmembrane transporter activity;oligopeptide transmembrane transporter activity;oligopeptide transmembrane transporter activity	GO:0015031;GO:0055085;GO:0055085	protein transport;transmembrane transport;transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_001999	B9J08_001999-t37_1	Candida auris strain B8441	PEKT02000005:120,800..122,857(+)	aspartate-tRNA ligase	78241	Not Assigned	PF00152	685	431	0	tRNA synthetases class II (D, K and N)	N/A	G3DSA:2.40.50.140, G3DSA:3.30.1360.30, G3DSA:3.30.930.10	MF_00044	N/A	N/A	PR01042	N/A	N/A	Bira Bifunctional Protein; Domain 2	Aspartate--tRNA(Asp/Asn) ligase [aspS].	N/A	N/A	Aspartyl-tRNA synthetase signature	N/A	N/A	N/A	PS50862	Aminoacyl-transfer RNA synthetases class-II family profile.	N/A	N/A	SSF50249, SSF55681	Nucleic acid-binding proteins	IPR002312, IPR004115, IPR004364, IPR004524, IPR006195, IPR012340, IPR045864	tRNA synthetases class II (D, K and N)	GO:0005737;GO:0005739;GO:0005739	cytoplasm;mitochondrion;mitochondrion	GO:0004812;GO:0004815;GO:0004815;GO:0005524;GO:0005524;GO:0005524;GO:0016874;GO:0003676;GO:0003676;GO:0000166	aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;aspartate-tRNA ligase activity;ATP binding;ATP binding;ATP binding;ligase activity;nucleic acid binding;nucleic acid binding;nucleotide binding	GO:0070146;GO:0070146;GO:0006418	mitochondrial aspartyl-tRNA aminoacylation;mitochondrial aspartyl-tRNA aminoacylation;tRNA aminoacylation for protein translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.1.1.12 (aspartate--tRNA ligase)
B9J08_002000	B9J08_002000-t37_1	Candida auris strain B8441	PEKT02000005:122,906..125,038(-)	nucleolar protein 9	82175	Not Assigned	PF22493	710	535	0	NOP9-like PUF repeat domain	N/A	G3DSA:1.25.10.10	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SM00025	pum_5	SSF48371	ARM repeat	IPR001313, IPR011989, IPR016024	pum_5	GO:0030686;GO:0030686;GO:0005730;GO:0005730;GO:0005730;GO:0030688;GO:0030688	90S preribosome;90S preribosome;nucleolus;nucleolus;nucleolus;preribosome, small subunit precursor;preribosome, small subunit precursor	GO:0003723;GO:0003723;GO:0003723	RNA binding;RNA binding;RNA binding	GO:0000480;GO:0000480;GO:0000447;GO:0000447;GO:0000472;GO:0000472;GO:0000056;GO:0000056;GO:0006364	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_002001	B9J08_002001-t37_1	Candida auris strain B8441	PEKT02000005:125,236..126,005(-)	Glutathione S-transferase, C-terminal domain | Glutathione S-transferase, N-terminal domain | domain-containing protein	27061	Not Assigned	PF00043, PF13409	240	463	2	Glutathione S-transferase, N-terminal domain	N/A	G3DSA:1.20.1050.10, G3DSA:3.40.30.10	N/A	N/A	N/A	N/A	SFLDG00358, SFLDS00019	N/A	Glutaredoxin	N/A	N/A	N/A	N/A	Main (cytGST)	N/A	N/A	PS50404, PS50405	Soluble glutathione S-transferase N-terminal domain profile.	N/A	N/A	SSF47616, SSF52833	Thioredoxin-like	-, IPR004045, IPR004046, IPR010987, IPR036249, IPR036282, IPR040079	Thioredoxin-like	GO:0005737;GO:0005737	cytoplasm;cytoplasm	GO:0004602;GO:0004602;GO:0004364;GO:0004364	glutathione peroxidase activity;glutathione peroxidase activity;glutathione transferase activity;glutathione transferase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.5.1.18 (glutathione transferase)
B9J08_002002	B9J08_002002-t37_1	Candida auris strain B8441	PEKT02000005:126,995..128,335(+)	PIN domain of ribonuclease | Nin one binding (NOB1) Zn-ribbon like | domain-containing protein	50594	Not Assigned	PF08772, PF17146	446	695	0	PIN domain of ribonuclease	cd09876	G3DSA:3.40.50.1010, G3DSA:6.20.210.10	N/A	N/A	N/A	N/A	N/A	PIN_Nob1-like	-	N/A	N/A	N/A	N/A	N/A	PIRSF037125	Nob1	N/A	N/A	N/A	N/A	SSF144206	NOB1 zinc finger-like	-, IPR014881, IPR017117, IPR033411, IPR036283	PIN_Nob1-like	GO:0005730;GO:0005634;GO:0005634;GO:0030688;GO:0030688	nucleolus;nucleus;nucleus;preribosome, small subunit precursor;preribosome, small subunit precursor	GO:0046872;GO:0004521;GO:0004521;GO:0004521;GO:0070181;GO:0070181	metal ion binding;RNA endonuclease activity;RNA endonuclease activity;RNA endonuclease activity;small ribosomal subunit rRNA binding;small ribosomal subunit rRNA binding	GO:0030490;GO:0030490;GO:0000462;GO:0000462;GO:0043248;GO:0043248;GO:0042274	maturation of SSU-rRNA;maturation of SSU-rRNA;maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);proteasome assembly;proteasome assembly;ribosomal small subunit biogenesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_002003	B9J08_002003-t37_1	Candida auris strain B8441	PEKT02000005:128,769..130,820(+)	EH domain | domain-containing protein	74778	Not Assigned	PF12763	683	2011	3	EH domain	cd00052	G3DSA:1.10.238.10	N/A	N/A	N/A	N/A	N/A	EH	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS50031	EH domain profile.	SM00027	eh_3	SSF47473	EF-hand	-, IPR000261, IPR011992	EH domain profile.	GO:0000407;GO:0000407	phagophore assembly site;phagophore assembly site	GO:0005509;GO:0005509;GO:0005515	calcium ion binding;calcium ion binding;protein binding	GO:0006914;GO:0006914;GO:0009267;GO:0009267;GO:0031505;GO:0031505	autophagy;autophagy;cellular response to starvation;cellular response to starvation;fungal-type cell wall organization;fungal-type cell wall organization	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_002004	B9J08_002004-t37_1	Candida auris strain B8441	PEKT02000005:131,104..133,296(+)	Class II histone deacetylase complex subunits 2 and 3 | domain-containing protein	84442	Not Assigned	PF11496	730	32	0	Class II histone deacetylase complex subunits 2 and 3	N/A	G3DSA:3.40.50.12360	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IPR021006, IPR038609	Class II histone deacetylase complex subunits 2 and 3	GO:0005829;GO:0005829;GO:0070823;GO:0070823;GO:0070823;GO:0005634;GO:0005634	cytosol;cytosol;HDA1 complex;HDA1 complex;HDA1 complex;nucleus;nucleus	GO:0003682;GO:0003682;GO:0003677;GO:0003677;GO:0004407;GO:0004407	chromatin binding;chromatin binding;DNA binding;DNA binding;histone deacetylase activity;histone deacetylase activity	GO:0000122;GO:0000122;GO:0016575;GO:0016575;GO:0031047;GO:0031047	negative regulation of transcription by RNA polymerase II;negative regulation of transcription by RNA polymerase II;obsolete histone deacetylation;obsolete histone deacetylation;regulatory ncRNA-mediated gene silencing;regulatory ncRNA-mediated gene silencing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_002005	B9J08_002005-t37_1	Candida auris strain B8441	PEKT02000005:133,647..135,431(+)	Pyridoxal-dependent decarboxylase conserved domain | domain-containing protein	65946	Not Assigned	PF00282	594	512	0	Pyridoxal-dependent decarboxylase conserved domain	N/A	G3DSA:3.40.640.10, G3DSA:3.90.1150.10, G3DSA:6.10.140.2150	N/A	N/A	N/A	N/A	N/A	N/A	Aspartate Aminotransferase, domain 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SSF53383	PLP-dependent transferases	-, IPR002129, IPR015421, IPR015422, IPR015424	sphingosine-1-phosphate lyase 1	GO:0032541;GO:0032541;GO:0032541;GO:0097038;GO:0097038;GO:0097038	cortical endoplasmic reticulum;cortical endoplasmic reticulum;cortical endoplasmic reticulum;perinuclear endoplasmic reticulum;perinuclear endoplasmic reticulum;perinuclear endoplasmic reticulum	GO:0016830;GO:0016831;GO:0016831;GO:0042802;GO:0030170;GO:0030170;GO:0030170;GO:0008117;GO:0008117;GO:0008117	carbon-carbon lyase activity;carboxy-lyase activity;carboxy-lyase activity;identical protein binding;pyridoxal phosphate binding;pyridoxal phosphate binding;pyridoxal phosphate binding;sphinganine-1-phosphate aldolase activity;sphinganine-1-phosphate aldolase activity;sphinganine-1-phosphate aldolas	GO:0019722;GO:0019722;GO:0019722;GO:0019752;GO:0019752;GO:0019752;GO:0009267;GO:0009267;GO:0009267;GO:0006665;GO:0006665;GO:0006665	calcium-mediated signaling;calcium-mediated signaling;calcium-mediated signaling;carboxylic acid metabolic process;carboxylic acid metabolic process;carboxylic acid metabolic process;cellular response to starvation;cellular response to starvation;cellular response to starvation;sphingolipid metaboli	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.27 (sphinganine-1-phosphate aldolase)	N/A
B9J08_002006	B9J08_002006-t37_1	Candida auris strain B8441	PEKT02000005:135,728..136,738(+)	PQ loop repeat | domain-containing protein	37503	Not Assigned	PF04193	336	858	2	PQ loop repeat	N/A	G3DSA:1.20.1280.290	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SM00679	ctns	N/A	N/A	-, IPR006603	PQ loop repeat family protein	GO:0000329;GO:0000329	fungal-type vacuole membrane;fungal-type vacuole membrane	GO:0015174;GO:0015174	basic amino acid transmembrane transporter activity;basic amino acid transmembrane transporter activity	GO:0034488;GO:0034488	basic amino acid transmembrane export from vacuole;basic amino acid transmembrane export from vacuole	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_002007	B9J08_002007-t37_1	Candida auris strain B8441	PEKT02000005:136,899..139,145(+)	hypothetical protein	86556	Not Assigned	N/A	748	18	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_002008	B9J08_002008-t37_1	Candida auris strain B8441	PEKT02000005:139,279..142,029(+)	Microtubule associated protein (MAP65/ASE1 family) | domain-containing protein	105876	Not Assigned	PF03999	916	603	0	Microtubule associated protein (MAP65/ASE1 family)	N/A	G3DSA:1.20.58.1520	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-	Microtubule associated protein (MAP65/ASE1 family)	GO:0005880;GO:0005880;GO:0005819;GO:0005819;GO:0051233;GO:0051233	nuclear microtubule;nuclear microtubule;spindle;spindle;spindle midzone;spindle midzone	GO:0008017;GO:0008017	microtubule binding;microtubule binding	GO:0000910;GO:0000910;GO:0000073;GO:0000073;GO:0001578;GO:0001578;GO:0000022;GO:0000022;GO:0007052;GO:0007052;GO:0000920;GO:0000920;GO:0051255;GO:0051255	cytokinesis;cytokinesis;initial mitotic spindle pole body separation;initial mitotic spindle pole body separation;microtubule bundle formation;microtubule bundle formation;mitotic spindle elongation;mitotic spindle elongation;mitotic spindle organization;mitotic spindle organization;septum digestion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
B9J08_002009	B9J08_002009-t37_1	Candida auris strain B8441	PEKT02000005:142,158..144,131(-)	50S ribosome-binding GTPase | domain-containing protein	74630	Not Assigned	PF01926	657	3177	3	50S ribosome-binding GTPase	cd01857	G3DSA:3.40.50.300	N/A	N/A	N/A	N/A	N/A	HSR1_MMR1	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PS51721	Circularly permuted (CP)-type guanine nucleotide-binding (G) domain profile.	N/A	N/A	SSF52540	P-loop containing nucleoside triphosphate hydrolases	-, IPR006073, IPR027417, IPR030378	P-loop containing nucleoside triphosphate hydrolases	GO:0005737;GO:0005737;GO:0022625;GO:0022625	cytoplasm;cytoplasm;cytosolic large ribosomal subunit;cytosolic large ribosomal subunit	GO:0005525;GO:0005525;GO:0005525	GTP binding;GTP binding;GTP binding	GO:0000027;GO:0000027;GO:0000054;GO:0000054	ribosomal large subunit assembly;ribosomal large subunit assembly;ribosomal subunit export from nucleus;ribosomal subunit export from nucleus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
