Gene ID,source_id,Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL,ProtNLM prediction,ProtNLM score,ProtNote GO predictions,GO2SUM summary,Validation category,Notes
B9J08_002822,B9J08_002822-t37_1,S-methyl-5-thioribose-1-phosphate isomerase,GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0046523,S-methyl-5-thioribose-1-phosphate isomerase activity,GO:0019284;GO:0019509;GO:0044249;GO:0044237,L-methionine salvage from S-adenosylmethionine;L-methionine salvage from methylthioadenosine;cellular biosynthetic process;cellular metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,5.3.1.23 (S-methyl-5-thioribose-1-phosphate isomerase),"5.3.1.23 (S-methyl-5-thioribose-1-phosphate isomerase);5.3.1.29 (Ribose 1,5-bisphosphate isomerase)",,,,,,
B9J08_002826,B9J08_002826-t37_1,"valine-tRNA ligase, mitochondrial",GO:0005737;GO:0005739,cytoplasm;mitochondrion,GO:0005524;GO:0002161;GO:0004812;GO:0000166;GO:0004832,ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding;valine-tRNA ligase activity,GO:0006418;GO:0006438,tRNA aminoacylation for protein translation;valyl-tRNA aminoacylation,N/A,N/A,N/A,N/A,N/A,N/A,6.1.1.9 (Valine--tRNA ligase),3.1.1.1 (Carboxylesterase);6.1.1.9 (Valine--tRNA ligase),,,,,,
B9J08_002847,B9J08_002847-t37_1,peroxisomal hydratase-dehydrogenase-epimerase,GO:0005777,peroxisome,GO:0003857;GO:0004300;GO:0016491,3-hydroxyacyl-CoA dehydrogenase activity;enoyl-CoA hydratase activity;oxidoreductase activity,GO:0006635;GO:0042760,fatty acid beta-oxidation;very long-chain fatty acid catabolic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.1.1.- (With NAD(+) or NADP(+) as acceptor.);4.2.1.119 (Enoyl-CoA hydratase 2);4.2.1.17 (Enoyl-CoA hydratase),,,,,,
B9J08_002855,B9J08_002855-t37_1,plasma membrane ATPase 1,GO:0016021;GO:0045121;GO:0005886,integral component of membrane;membrane raft;plasma membrane,GO:0005524;GO:0016887;GO:0008553;GO:0046872;GO:0000166;GO:1901691,ATP binding;ATP hydrolysis activity;P-type proton-exporting transporter activity;metal ion binding;nucleotide binding;proton binding,GO:0006754;GO:1904263;GO:1902906;GO:0120029;GO:1902600;GO:0051453;GO:0055085,ATP biosynthetic process;positive regulation of TORC1 signaling;proteasome storage granule assembly;proton export across plasma membrane;proton transmembrane transport;regulation of intracellular pH;transmembrane transport,N/A,N/A,N/A,N/A,N/A,N/A,7.1.2.1 (P-type H(+)-exporting transporter),3.6.1.- (In phosphorus-containing anhydrides.);3.6.3.2 (Transferred entry: 7.2.2.14);3.6.3.6 (Transferred entry: 7.1.2.1);7.1.2.1 (P-type H(+)-exporting transporter);7.2.2.- (Linked to the hydrolysis of a nucleoside triphosphate.);7.2.2.10 (P-type Ca(2+) transporter),,,,,,
B9J08_002866,B9J08_002866-t37_1,tRNA-Arg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002873,B9J08_002873-t37_1,tRNA-Asp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002876,B9J08_002876-t37_1,calmodulin,GO:0032153;GO:0005935;GO:0005934;GO:0061493;GO:0005823;GO:0000935;GO:0035838;GO:0001411;GO:0000131;GO:0043332;GO:0035974;GO:0044732;GO:0045160;GO:0035841;GO:0035840,cell division site;cellular bud neck;cellular bud tip;central plaque of mitotic spindle pole body;central plaque of spindle pole body;division septum;growing cell tip;hyphal tip;incipient cellular bud site;mating projection tip;meiotic spindle pole body;mitotic spindle pole body;myosin I complex;new,GO:0005509;GO:0048306;GO:0051019,calcium ion binding;calcium-dependent protein binding;mitogen-activated protein kinase binding,GO:0030437;GO:0031322;GO:0019722;GO:0007114;GO:0007010;GO:0006897;GO:0000742;GO:0016237;GO:0090307;GO:0006661;GO:0006606;GO:1902441;GO:0006898;GO:0051726;GO:1903525;GO:0051300;GO:0009847;GO:0042144,ascospore formation;ascospore-type prospore-specific spindle pole body remodeling;calcium-mediated signaling;cell budding;cytoskeleton organization;endocytosis;karyogamy involved in conjugation with cellular fusion;lysosomal microautophagy;mitotic spindle assembly;phosphatidylinositol biosynthetic p,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3.1.74 (2-alkenal reductase (NAD(P)(+)));2.3.1.23 (1-acylglycerophosphocholine O-acyltransferase);2.7.11.- (Protein-serine/threonine kinases.);2.7.11.1 (Non-specific serine/threonine protein kinase),,,,,,
B9J08_002880,B9J08_002880-t37_1,tRNA-Gly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002883,B9J08_002883-t37_1,spliceosomal protein DIB1,GO:0046540;GO:0005682;GO:0005681,U4/U6 x U5 tri-snRNP complex;U5 snRNP;spliceosomal complex,N/A,N/A,GO:0000398,"mRNA splicing, via spliceosome",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002885,B9J08_002885-t37_1,"dihydroorotase, homodimeric type",N/A,N/A,GO:0004151;GO:0016787;GO:0016812;GO:0046872,"dihydroorotase activity;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides;metal ion binding",GO:0044205;GO:0006207;GO:0019856;GO:0006221,'de novo' UMP biosynthetic process;'de novo' pyrimidine nucleobase biosynthetic process;pyrimidine nucleobase biosynthetic process;pyrimidine nucleotide biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,3.5.2.3 (Dihydroorotase),3.5.2.3 (Dihydroorotase),,,,,,
B9J08_002906,B9J08_002906-t37_1,"protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic",GO:0005784;GO:0071261;GO:0005789;GO:0016021;GO:0016020;GO:0005637,Sec61 translocon complex;Ssh1 translocon complex;endoplasmic reticulum membrane;integral component of membrane;membrane;nuclear inner membrane,GO:0008320;GO:0015450;GO:0005198,protein transmembrane transporter activity;protein-transporting ATPase activity;structural molecule activity,GO:0006616;GO:0006886;GO:0031204;GO:0006605;GO:0015031,"SRP-dependent cotranslational protein targeting to membrane, translocation;intracellular protein transport;posttranslational protein targeting to membrane, translocation;protein targeting;protein transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002910,B9J08_002910-t37_1,"succinate dehydrogenase assembly factor 2, mitochondrial",GO:0005759;GO:0005739,mitochondrial matrix;mitochondrion,N/A,N/A,GO:0006121;GO:0034553;GO:0018293;GO:0006099,"mitochondrial electron transport, succinate to ubiquinone;mitochondrial respiratory chain complex II assembly;protein-FAD linkage;tricarboxylic acid cycle",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002919,B9J08_002919-t37_1,"malate synthase, glyoxysomal",GO:0005829;GO:0005782;GO:0005777,cytosol;peroxisomal matrix;peroxisome,GO:0003824;GO:0004474,catalytic activity;malate synthase activity,GO:0045733;GO:0015976;GO:0009062;GO:0006097;GO:0006099,acetate catabolic process;carbon utilization;fatty acid catabolic process;glyoxylate cycle;tricarboxylic acid cycle,N/A,N/A,N/A,N/A,N/A,N/A,2.3.3.9 (Malate synthase),2.3.3.9 (Malate synthase),,,,,,
B9J08_002920,B9J08_002920-t37_1,glutaredoxin,GO:0005794;GO:0005796;GO:0005801;GO:0016021;GO:0005739;GO:0005634,Golgi apparatus;Golgi lumen;cis-Golgi network;integral component of membrane;mitochondrion;nucleus,GO:0009055;GO:0015038;GO:0004362;GO:0015035,electron transfer activity;glutathione disulfide oxidoreductase activity;glutathione-disulfide reductase (NADPH) activity;protein-disulfide reductase activity,GO:0045454;GO:0034599;GO:0019430,cell redox homeostasis;cellular response to oxidative stress;removal of superoxide radicals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002921,B9J08_002921-t37_1,40S ribosomal protein S11-A,GO:0022627;GO:0005840,cytosolic small ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:0000462;GO:0000028;GO:0006412,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);ribosomal small subunit assembly;translation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002935,B9J08_002935-t37_1,tRNA-Phe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002944,B9J08_002944-t37_1,imidazoleglycerol-phosphate dehydratase,N/A,N/A,GO:0004424,imidazoleglycerol-phosphate dehydratase activity,GO:0000105,histidine biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,4.2.1.19 (Imidazoleglycerol-phosphate dehydratase),3.1.3.15 (Histidinol-phosphatase);4.2.1.19 (Imidazoleglycerol-phosphate dehydratase),,,,,,
B9J08_002957,B9J08_002957-t37_1,tRNA-intron endonuclease,GO:0000214,tRNA-intron endonuclease complex,GO:0016829;GO:0004518;GO:0003676;GO:0000213,lyase activity;nuclease activity;nucleic acid binding;tRNA-intron endonuclease activity,GO:0006388;GO:0000379,"tRNA splicing, via endonucleolytic cleavage and ligation;tRNA-type intron splice site recognition and cleavage",N/A,N/A,N/A,N/A,N/A,N/A,4.6.1.16 (tRNA-intron lyase),3.1.27.9 (Transferred entry: 4.6.1.16);4.6.1.16 (tRNA-intron lyase),,,,,,
B9J08_002960,B9J08_002960-t37_1,diphthamide biosynthesis protein 3,GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0005506;GO:0046872;GO:0016730;GO:0008270,"iron ion binding;metal ion binding;oxidoreductase activity, acting on iron-sulfur proteins as donors;zinc ion binding",GO:0017183;GO:0002098,peptidyl-diphthamide biosynthetic process from peptidyl-histidine;tRNA wobble uridine modification,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.3.1.14 (Diphthine--ammonia ligase),,,,,,
B9J08_002961,B9J08_002961-t37_1,40S ribosomal protein S8-B,GO:0022627;GO:0005840,cytosolic small ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:0000462;GO:0006412,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);translation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002963,B9J08_002963-t37_1,tRNA-Ile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002964,B9J08_002964-t37_1,tRNA-Ala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002970,B9J08_002970-t37_1,multiprotein-bridging factor 1,N/A,N/A,GO:0003677;GO:0043565;GO:0003713,DNA binding;sequence-specific DNA binding;transcription coactivator activity,GO:0045944,positive regulation of transcription by RNA polymerase II,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_002972,B9J08_002972-t37_1,methionine-R-sulfoxide reductase,GO:0005739,mitochondrion,GO:0046872;GO:0016671;GO:0033743,"metal ion binding;oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor;peptide-methionine (R)-S-oxide reductase activity",GO:0034599;GO:0055114;GO:0030091;GO:0006979,cellular response to oxidative stress;obsolete oxidation-reduction process;protein repair;response to oxidative stress,N/A,N/A,N/A,N/A,N/A,N/A,1.8.4.12 (Peptide-methionine (R)-S-oxide reductase),1.8.4.11 (Peptide-methionine (S)-S-oxide reductase);1.8.4.12 (Peptide-methionine (R)-S-oxide reductase);1.8.4.14 (L-methionine (R)-S-oxide reductase),,,,,,
B9J08_002986,B9J08_002986-t37_1,"1,4-alpha-glucan-branching enzyme",N/A,N/A,GO:0003844;GO:0102752;GO:0003824;GO:0043169;GO:0004553,"1,4-alpha-glucan branching enzyme activity;1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis);catalytic activity;cation binding;hydrolase activity, hydrolyzing O-glycosyl compounds",GO:0005975;GO:0005978,carbohydrate metabolic process;glycogen biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,"2.4.1.18 (1,4-alpha-glucan branching enzyme)","2.4.1.18 (1,4-alpha-glucan branching enzyme);2.4.1.21 (Starch synthase)",,,,,,
B9J08_002994,B9J08_002994-t37_1,phosphoribosylaminoimidazole-succinocarboxamide synthase,N/A,N/A,GO:0005524;GO:0004639,ATP binding;phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,GO:0006189;GO:0046084;GO:0006106;GO:0006164;GO:0009152,'de novo' IMP biosynthetic process;adenine biosynthetic process;fumarate metabolic process;purine nucleotide biosynthetic process;purine ribonucleotide biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,6.3.2.6 (Phosphoribosylaminoimidazolesuccinocarboxamide synthase),6.3.2.6 (Phosphoribosylaminoimidazolesuccinocarboxamide synthase);6.3.5.3 (Phosphoribosylformylglycinamidine synthase),,,,,,
B9J08_002995,B9J08_002995-t37_1,adenylyl-sulfate kinase,N/A,N/A,GO:0005524;GO:0004020,ATP binding;adenylylsulfate kinase activity,GO:0019344;GO:0070814;GO:0009086;GO:0000103;GO:0019379;GO:0000096,"cysteine biosynthetic process;hydrogen sulfide biosynthetic process;methionine biosynthetic process;sulfate assimilation;sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin);sulfur amino acid metabolic process",N/A,N/A,N/A,N/A,N/A,N/A,2.7.1.25 (Adenylyl-sulfate kinase),2.7.1.25 (Adenylyl-sulfate kinase),,,,,,
B9J08_003013,B9J08_003013-t37_1,DNA repair helicase RAD25,GO:0005829;GO:0000112;GO:0005634;GO:0000439;GO:0005675;GO:0097550,cytosol;nucleotide-excision repair factor 3 complex;nucleus;transcription factor TFIIH core complex;transcription factor TFIIH holo complex;transcription preinitiation complex,GO:0005524;GO:0003677;GO:0003678;GO:0015616;GO:0016787;GO:0003676,ATP binding;DNA binding;DNA helicase activity;DNA translocase activity;hydrolase activity;nucleic acid binding,GO:0032508;GO:0006289;GO:0033683;GO:0070816;GO:0016973;GO:0001111;GO:0000019;GO:0010525;GO:0006366;GO:0006367;GO:0001113,"DNA duplex unwinding;nucleotide-excision repair;nucleotide-excision repair, DNA incision;phosphorylation of RNA polymerase II C-terminal domain;poly(A)+ mRNA export from nucleus;promoter clearance from RNA polymerase II promoter;regulation of mitotic recombination;regulation of transposition, RNA-me",N/A,N/A,N/A,N/A,N/A,N/A,3.6.4.12 (DNA helicase),3.6.1.- (In phosphorus-containing anhydrides.);3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.3.- (Acting on acid anhydrides; catalyzing transmembrane movement of substances.);3.6.4.12 (DNA helicase),,,,,,
B9J08_003023,B9J08_003023-t37_1,60S ribosomal protein L3,GO:0022625;GO:0005840,cytosolic large ribosomal subunit;ribosome,GO:0003735,structural constituent of ribosome,GO:1990145;GO:0006364;GO:0000027;GO:0006412,maintenance of translational fidelity;rRNA processing;ribosomal large subunit assembly;translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003043,B9J08_003043-t37_1,tRNA-Leu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003052,B9J08_003052-t37_1,tRNA-Glu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003055,B9J08_003055-t37_1,eukaryotic translation initiation factor 3 subunit G,GO:0005737;GO:0010494;GO:0016282;GO:0033290;GO:0005852;GO:0071540;GO:0071541;GO:0043614,"cytoplasm;cytoplasmic stress granule;eukaryotic 43S preinitiation complex;eukaryotic 48S preinitiation complex;eukaryotic translation initiation factor 3 complex;eukaryotic translation initiation factor 3 complex, eIF3e;eukaryotic translation initiation factor 3 complex, eIF3m;multi-eIF complex",GO:0003676;GO:0000166;GO:0003743,nucleic acid binding;nucleotide binding;translation initiation factor activity,GO:0001732;GO:0032781;GO:0002188;GO:0006413;GO:0006415,formation of cytoplasmic translation initiation complex;positive regulation of ATP-dependent activity;translation reinitiation;translational initiation;translational termination,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003059,B9J08_003059-t37_1,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,GO:0005739,mitochondrion,GO:0005524;GO:0008168;GO:0016783;GO:0000049;GO:0061708;GO:0016740,ATP binding;methyltransferase activity;sulfurtransferase activity;tRNA binding;tRNA-5-taurinomethyluridine 2-sulfurtransferase;transferase activity,GO:0032259;GO:1990799;GO:0008033,methylation;mitochondrial tRNA wobble position uridine thiolation;tRNA processing,N/A,N/A,N/A,N/A,N/A,N/A,2.8.1.14 (tRNA-5-taurinomethyluridine 2-sulfurtransferase),2.1.1.61 (tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase);2.8.1.- (Sulfurtransferases.);2.8.1.13 (tRNA-uridine 2-sulfurtransferase);2.8.1.14 (tRNA-5-taurinomethyluridine 2-sulfurtransferase),,,,,,
B9J08_003061,B9J08_003061-t37_1,tRNA-Thr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003062,B9J08_003062-t37_1,tRNA-OTHER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003064,B9J08_003064-t37_1,tRNA-Glu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003071,B9J08_003071-t37_1,tRNA-Asp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003072,B9J08_003072-t37_1,tRNA-Gly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003078,B9J08_003078-t37_1,hypoxanthine-guanine phosphoribosyltransferase,N/A,N/A,GO:0016757,glycosyltransferase activity,GO:0009116,nucleoside metabolic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.4.2.- (Pentosyltransferases.);2.4.2.8 (Hypoxanthine phosphoribosyltransferase),,,,,,
B9J08_003084,B9J08_003084-t37_1,phosphoserine phosphatase SerB,N/A,N/A,GO:0004647,phosphoserine phosphatase activity,GO:0006564,L-serine biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1.3.3 (Phosphoserine phosphatase),,,,,,
B9J08_003089,B9J08_003089-t37_1,40S ribosomal protein S24-A,GO:0005840,ribosome,GO:0000166;GO:0003735,nucleotide binding;structural constituent of ribosome,GO:0000462;GO:0006412,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);translation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003096,B9J08_003096-t37_1,tRNA-Ala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003097,B9J08_003097-t37_1,tRNA-Ile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003099,B9J08_003099-t37_1,thiamine thiazole synthase,GO:0005829;GO:0005634,cytosol;nucleus,GO:0008198;GO:0005506;GO:0046872;GO:0016763,ferrous iron binding;iron ion binding;metal ion binding;pentosyltransferase activity,GO:0000002;GO:0009228;GO:0052837,mitochondrial genome maintenance;thiamine biosynthetic process;thiazole biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,2.4.2.60 (Cysteine-dependent adenosine diphosphate thiazole synthase),2.4.2.59 (Sulfide-dependent adenosine diphosphate thiazole synthase);2.4.2.60 (Cysteine-dependent adenosine diphosphate thiazole synthase),,,,,,
B9J08_003103,B9J08_003103-t37_1,phosphoserine transaminase,N/A,N/A,GO:0004648;GO:0003824;GO:0030170,O-phospho-L-serine:2-oxoglutarate aminotransferase activity;catalytic activity;pyridoxal phosphate binding,GO:0006564;GO:0009113;GO:0009070,L-serine biosynthetic process;purine nucleobase biosynthetic process;serine family amino acid biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,2.6.1.52 (Phosphoserine transaminase),2.4.1.135 (Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase);2.6.1.52 (Phosphoserine transaminase),,,,,,
B9J08_003104,B9J08_003104-t37_1,"translation factor GUF1, mitochondrial",GO:0005743;GO:0005759,mitochondrial inner membrane;mitochondrial matrix,GO:0005525;GO:0003924;GO:0097177;GO:0043022;GO:0003746,GTP binding;GTPase activity;mitochondrial ribosome binding;ribosome binding;translation elongation factor activity,GO:0045727;GO:0006412,positive regulation of translation;translation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.7.7.4 (Sulfate adenylyltransferase);3.6.5.- (Acting on GTP; involved in cellular and subcellular movement.),,,,,,
B9J08_003105,B9J08_003105-t37_1,"threonine ammonia-lyase, biosynthetic",N/A,N/A,GO:0004794;GO:0030170,L-threonine ammonia-lyase activity;pyridoxal phosphate binding,GO:0006520;GO:0009097;GO:0006567,cellular amino acid metabolic process;isoleucine biosynthetic process;threonine catabolic process,N/A,N/A,N/A,N/A,N/A,N/A,4.3.1.19 (Threonine ammonia-lyase),4.3.1.19 (Threonine ammonia-lyase),,,,,,
B9J08_003107,B9J08_003107-t37_1,40S ribosomal protein S10-A,GO:0005840,ribosome,N/A,N/A,GO:0006407,rRNA export from nucleus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003108,B9J08_003108-t37_1,tRNA-Glu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003115,B9J08_003115-t37_1,cyclin-dependent kinase regulatory subunit,GO:0000307,cyclin-dependent protein kinase holoenzyme complex,GO:0061575;GO:0016538;GO:0042393;GO:0030295;GO:0044877;GO:0043130;GO:0008270,cyclin-dependent protein serine/threonine kinase activator activity;cyclin-dependent protein serine/threonine kinase regulator activity;histone binding;protein kinase activator activity;protein-containing complex binding;ubiquitin binding;zinc ion binding,GO:0007049;GO:0051301;GO:0045944;GO:0010389;GO:0007346;GO:0060303;GO:0006357,cell cycle;cell division;positive regulation of transcription by RNA polymerase II;regulation of G2/M transition of mitotic cell cycle;regulation of mitotic cell cycle;regulation of nucleosome density;regulation of transcription by RNA polymerase II,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003118,B9J08_003118-t37_1,eukaryotic translation initiation factor eIF-1,GO:0016282;GO:0043614,eukaryotic 43S preinitiation complex;multi-eIF complex,GO:0043024;GO:0003743;GO:0031369,ribosomal small subunit binding;translation initiation factor activity;translation initiation factor binding,GO:0001731;GO:1990145;GO:0006450;GO:0006413,formation of translation preinitiation complex;maintenance of translational fidelity;regulation of translational fidelity;translational initiation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003122,B9J08_003122-t37_1,"NADH-ubiquinone oxidoreductase 51 kDa subunit, mitochondrial",GO:0005743;GO:0070469,mitochondrial inner membrane;respirasome,GO:0051539;GO:0010181;GO:0051287;GO:0008137;GO:0046872;GO:0016651,"4 iron, 4 sulfur cluster binding;FMN binding;NAD binding;NADH dehydrogenase (ubiquinone) activity;metal ion binding;oxidoreductase activity, acting on NAD(P)H",GO:0055114,obsolete oxidation-reduction process,N/A,N/A,N/A,N/A,N/A,N/A,7.1.1.2 (NADH:ubiquinone reductase (H(+)-translocating)),1.2.1.2 (Transferred entry: 1.17.1.9);1.6.5.3 (Transferred entry: 7.1.1.2);1.6.99.3 (Deleted entry);7.1.1.2 (NADH:ubiquinone reductase (H(+)-translocating)),,,,,,
B9J08_003125,B9J08_003125-t37_1,farnesyl pyrophosphate synthase,GO:0005737;GO:0005783,cytoplasm;endoplasmic reticulum,GO:0004161;GO:0004311;GO:0004337;GO:0016765,"dimethylallyltranstransferase activity;farnesyltranstransferase activity;geranyltranstransferase activity;transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0006696;GO:0045337;GO:0008299,ergosterol biosynthetic process;farnesyl diphosphate biosynthetic process;isoprenoid biosynthetic process,N/A,N/A,N/A,N/A,N/A,N/A,"2.5.1.1 (Dimethylallyltranstransferase);2.5.1.10 ((2E,6E)-farnesyl diphosphate synthase)","2.5.1.1 (Dimethylallyltranstransferase);2.5.1.10 ((2E,6E)-farnesyl diphosphate synthase);2.5.1.29 (Geranylgeranyl diphosphate synthase);2.5.1.67 (Chrysanthemyl diphosphate synthase);2.5.1.69 (Lavandulyl diphosphate synthase)",,,,,,
B9J08_003127,B9J08_003127-t37_1,60S ribosomal protein L17-B,GO:0022625;GO:0005576;GO:0015934;GO:0030687;GO:0005840,"cytosolic large ribosomal subunit;extracellular region;large ribosomal subunit;preribosome, large subunit precursor;ribosome",GO:0003735,structural constituent of ribosome,GO:0000448;GO:0002181;GO:0006412,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);cytoplasmic translation;translation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003133,B9J08_003133-t37_1,mitochondrial import inner membrane translocase subunit TIM17,GO:0005744;GO:0016021,TIM23 mitochondrial import inner membrane translocase complex;integral component of membrane,GO:0008320,protein transmembrane transporter activity,GO:0000002;GO:0030150,mitochondrial genome maintenance;protein import into mitochondrial matrix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
B9J08_003153,B9J08_003153-t37_1,YggS family pyridoxal phosphate enzyme,N/A,N/A,GO:0030170,pyridoxal phosphate binding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.1.1.1 (Alanine racemase),5.1.1.1 (Alanine racemase),,,,,,
B9J08_003157,B9J08_003157-t37_1,GPI-anchor transamidase,GO:0042765;GO:0005789,GPI-anchor transamidase complex;endoplasmic reticulum membrane,GO:0003923;GO:0008233,GPI-anchor transamidase activity;peptidase activity,GO:0016255;GO:0006508,attachment of GPI anchor to protein;proteolysis,N/A,N/A,N/A,N/A,N/A,N/A,3.-.-.- (Hydrolases.),3.4.-.- (Acting on peptide bonds (peptidases).);3.4.22.34 (Legumain),,,,,,
B9J08_003159,B9J08_003159-t37_1,protein STE12,GO:1990526;GO:1990527;GO:0005654;GO:0005634,Ste12p-Dig1p-Dig2p complex;Tec1p-Ste12p-Dig1p complex;nucleoplasm;nucleus,GO:0003700,DNA-binding transcription factor activity,GO:0000747;GO:0001403;GO:0046020;GO:0007329;GO:0007124;GO:0006355,"conjugation with cellular fusion;invasive growth in response to glucose limitation;negative regulation of transcription from RNA polymerase II promoter by pheromones;positive regulation of transcription from RNA polymerase II promoter by pheromones;pseudohyphal growth;regulation of transcription, DN",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
