Beta FungiDB ID,Beta FungiDB Name
B9J08_002486,unspecified product
B9J08_002487,Protein kinase domain | domain-containing protein
B9J08_002488,Pex2 / Pex12 amino terminal region | domain-containing protein
B9J08_002489,"WD domain, G-beta repeat | domain-containing protein"
B9J08_002490,SART-1 family | HIND motif | domain-containing protein
B9J08_002491,haloacid dehalogenase-like hydrolase | Heavy-metal-associated domain | E1-E2 ATPase | domain-containing protein
B9J08_002492,unspecified product
B9J08_002493,unspecified product
B9J08_002494,Transportin-3/Importin-13 fourth TPR domain | Importin-beta N-terminal domain | Exportin 1-like protein | Transportin-3/Importin-13 second TPR domain | Transportin-3/Importin-13 third TPR domain | domain-containing protein
B9J08_002495,guanylate kinase
B9J08_002496,non-specific serine/threonine protein kinase
B9J08_002497,Protein kinase domain | domain-containing protein
B9J08_002498,unspecified product
B9J08_002499,Pyridine nucleotide-disulphide oxidoreductase | domain-containing protein
B9J08_002500,Transcriptional regulatory protein LGE1 | domain-containing protein
B9J08_002501,short chain dehydrogenase | domain-containing protein
B9J08_002502,Ubiquitin-conjugating enzyme | domain-containing protein
B9J08_002503,Mitotic checkpoint protein | domain-containing protein
B9J08_002504,"PRP1 splicing factor, N-terminal | domain-containing protein"
B9J08_002505,"Histone-binding protein RBBP4 or subunit C of CAF1 complex | WD domain, G-beta repeat | domain-containing protein"
B9J08_002506,"Domain of unknown function (DUF4110) | KLHDC2/KLHL20/DRC7 Kelch-repeats domain | Galactose oxidase, central domain | domain-containing protein"
B9J08_002507,unspecified product
B9J08_002508,Ribosomal RNA adenine dimethylase | domain-containing protein
B9J08_002509,unspecified product
B9J08_002510,Yeast cortical protein KAR9 | domain-containing protein
B9J08_002511,unspecified product
B9J08_002512,phosphoacetylglucosamine mutase
B9J08_002513,Staphylococcal nuclease homologue | domain-containing protein
B9J08_002514,RNA polymerase II transcription elongation factor | domain-containing protein
B9J08_002515,unspecified product
B9J08_002517,SWI5-dependent HO expression protein 3 | domain-containing protein
B9J08_002518,"WD domain, G-beta repeat | domain-containing protein"
B9J08_002519,Aminotransferase class-V | domain-containing protein
B9J08_002520,DNAJC9 HTH domain | DnaJ domain | domain-containing protein
B9J08_002521,DNA topoisomerase (ATP-hydrolysing)
B9J08_002522,unspecified product
B9J08_002523,Rdx family | domain-containing protein
B9J08_002524,"GATA zinc finger | Nitrogen regulatory protein areA, GATA-like domain | domain-containing protein"
B9J08_002525,unspecified product
B9J08_002526,CUE domain | domain-containing protein
B9J08_002527,NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7) | domain-containing protein
B9J08_002528,NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7) | domain-containing protein
B9J08_002529,GATA zinc finger | domain-containing protein
B9J08_002530,HAD-hyrolase-like | Haloacid dehalogenase-like hydrolase | domain-containing protein
B9J08_002531,Tetrapyrrole (Corrin/Porphyrin) Methylases | Putative NAD(P)-binding | domain-containing protein
B9J08_002532,Nuclear pore complex subunit Nro1 | domain-containing protein
B9J08_002533,AN1-like Zinc finger | domain-containing protein
B9J08_002534,unspecified product
B9J08_002535,Transport protein particle (TRAPP) component | domain-containing protein
B9J08_002536,Fatty acid hydroxylase | domain-containing protein
B9J08_002537,Methyltransferase domain | domain-containing protein
B9J08_002538,Pirin C-terminal cupin domain | Pirin | domain-containing protein
B9J08_002539,DNA polymerase subunit Cdc27 | domain-containing protein
B9J08_002540,unspecified product
B9J08_002541,unspecified product
B9J08_002542,unspecified product
B9J08_002543,unspecified product
B9J08_002544,Protein kinase domain | domain-containing protein
B9J08_002545,unspecified product
B9J08_002546,unspecified product
B9J08_002547,unspecified product
B9J08_002548,Adaptor complexes medium subunit family | Clathrin adaptor complex small chain | domain-containing protein
B9J08_002549,cAMP phosphodiesterases class-II | domain-containing protein
B9J08_002550,Proteasome subunit | domain-containing protein
B9J08_002551,Alpha-ketoglutarate dehydrogenase component 4/YMR-31 | domain-containing protein
B9J08_002552,unspecified product
B9J08_002553,Golgi to ER traffic protein 4 | domain-containing protein
B9J08_002554,NUDIX domain | domain-containing protein
B9J08_002555,EF hand | domain-containing protein
B9J08_002556,"CHCH-CHCH-like Cx9C, IMS import disulfide relay-system, | domain-containing protein"
B9J08_002557,LicD family | domain-containing protein
B9J08_002558,Vesicle coat protein involved in Golgi to plasma membrane transport | domain-containing protein
B9J08_002559,Vacuolar protein sorting 38 | domain-containing protein
B9J08_002560,Seripauperin and TIP1 family | domain-containing protein
B9J08_002561,unspecified product
B9J08_002562,"WD domain, G-beta repeat | LisH | WD40 associated region in TFIID subunit, NTD2 domain | domain-containing protein"
B9J08_002563,unspecified product
B9J08_002564,Phosphatidylinositol N-acetylglucosaminyltransferase | domain-containing protein
B9J08_002565,Disordered region of unknown function (DUF5315) | domain-containing protein
B9J08_002566,Hexokinase | Hexokinase | domain-containing protein
B9J08_002567,Outer membrane protein TOM13 | domain-containing protein
B9J08_002568,Proteasome subunit | Proteasome subunit A N-terminal signature | domain-containing protein
B9J08_002569,XPG I-region | XPG N-terminal domain | domain-containing protein
B9J08_002570,Nup98-96 autopeptidase S59 | Nucleoporin FG repeat region | domain-containing protein
B9J08_002571,Xylose isomerase-like TIM barrel | domain-containing protein
B9J08_002572,"DNA polymerase III subunit epsilon-like, C-terminal domain | domain-containing protein"
B9J08_002573,Telomere length regulation protein | domain-containing protein
B9J08_002574,unspecified product
B9J08_002575,Transferrin receptor-like dimerisation domain | Peptidase family M28 | PA domain | domain-containing protein
B9J08_002576,Fungal Zn(2)-Cys(6) binuclear cluster domain | Fungal specific transcription factor domain | domain-containing protein
B9J08_002577,Peptidase family M20/M25/M40 | domain-containing protein
B9J08_002578,Major Facilitator Superfamily | domain-containing protein
B9J08_002579,unspecified product
B9J08_002580,Transcription factor TFIIB repeat | TFIIB zinc-binding | domain-containing protein
B9J08_002581,Major Facilitator Superfamily | domain-containing protein
B9J08_002582,"Candida agglutinin-like (ALS) | Agglutinin-like protein, N-terminal domain | domain-containing protein"
B9J08_002583,Major Facilitator Superfamily | domain-containing protein
B9J08_002584,unspecified product
B9J08_002585,Major Facilitator Superfamily | domain-containing protein
B9J08_002587,Arginase family | domain-containing protein
B9J08_002588,Plasma-membrane choline transporter | domain-containing protein
B9J08_002589,Calcineurin-like phosphoesterase superfamily domain | domain-containing protein
B9J08_002590,NOT2/NOT3/NOT5 C-terminal | domain-containing protein
B9J08_002591,unspecified product
B9J08_002592,unspecified product
B9J08_002593,unspecified product
B9J08_002594,Sir2 family | domain-containing protein
B9J08_002595,Bromodomain | BAH domain | domain-containing protein
B9J08_002596,Glycosyl hydrolases family 17 | domain-containing protein
B9J08_002597,Snare region anchored in the vesicle membrane C-terminus | domain-containing protein
B9J08_002598,Coiled-coil domain-containing protein 90-like | domain-containing protein
B9J08_002599,Regulator of chromosome condensation (RCC1) repeat | domain-containing protein
B9J08_002600,phosphomannomutase
B9J08_002601,Ribosomal protein L16p/L10e | domain-containing protein
B9J08_002602,Zinc-finger double-stranded RNA-binding | domain-containing protein
B9J08_002603,ubiquitinyl hydrolase 1
B9J08_002604,"Apoptosis antagonizing transcription factor | Apoptosis-antagonizing transcription factor, C-terminal | domain-containing protein"
B9J08_002605,Ribosomal protein S13/S18 | domain-containing protein
B9J08_002606,N-glycosylation protein | domain-containing protein
B9J08_002607,Ras family | domain-containing protein
B9J08_002608,Tropomyosin | domain-containing protein
B9J08_002609,LSM domain | domain-containing protein
B9J08_002610,Mitochondrial F1-F0 ATP synthase subunit F of fungi | domain-containing protein
B9J08_002611,non-specific serine/threonine protein kinase
B9J08_002612,unspecified product
B9J08_002613,unspecified product
B9J08_002614,Cyclin | domain-containing protein
B9J08_002615,ATPase family associated with various cellular activities (AAA) | AARP2CN (NUC121) domain | 40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal | domain-containing protein
B9J08_002616,unspecified product
B9J08_002617,ML-like domain | Transient receptor potential (TRP) ion channel | domain-containing protein
B9J08_002618,Lon protease AAA+ ATPase lid domain | Lon protease (S16) C-terminal proteolytic domain | ATPase family associated with various cellular activities (AAA) | ATP-dependent protease La (LON) substrate-binding domain | domain-containing protein
B9J08_002619,Methyltransferase domain | domain-containing protein
B9J08_002620,Mitochondrial splicing apparatus component | domain-containing protein
B9J08_002621,unspecified product
B9J08_002622,Ribosomal protein L30p/L7e | domain-containing protein
B9J08_002623,unspecified product
B9J08_002624,unspecified product
B9J08_002626,unspecified product
B9J08_002627,Alcohol dehydrogenase GroES-like domain | Zinc-binding dehydrogenase | domain-containing protein
B9J08_002628,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_002629,acetolactate synthase
B9J08_002630,Ammonium Transporter Family | domain-containing protein
B9J08_002631,"RMND1/Sif2-Sif3/Mrx10, DUF155 | domain-containing protein"
B9J08_002632,glutamine-fructose-6-phosphate transaminase (isomerizing)
B9J08_002633,Mitofissin | domain-containing protein
B9J08_002634,Protein kinase domain | domain-containing protein
B9J08_002635,G-protein alpha subunit | domain-containing protein
B9J08_002636,unspecified product
B9J08_002637,Aminopeptidase I zinc metalloprotease (M18) | domain-containing protein
B9J08_002638,Deoxyhypusine synthase | domain-containing protein
B9J08_002639,NADH ubiquinone oxidoreductase subunit NDUFA12 | domain-containing protein
B9J08_002640,unspecified product
B9J08_002641,unspecified product
B9J08_002642,"cytochrome c oxidase-assembly factor COX23, mitochondrial"
B9J08_002643,Glycine zipper 2TM domain | domain-containing protein
B9J08_002644,Cytoplasmic tRNA 2-thiolation protein 2 | domain-containing protein
B9J08_002645,Apc15p protein | domain-containing protein
B9J08_002646,Sugar (and other) transporter | domain-containing protein
B9J08_002647,Scavenger mRNA decapping enzyme C-term binding | C2HE / C2H2 / C2HC zinc-binding finger | domain-containing protein
B9J08_002648,ER protein Pkr1 | domain-containing protein
B9J08_002649,RING/Ubox like zinc-binding domain | domain-containing protein
B9J08_002650,unspecified product
B9J08_002651,isoleucine-tRNA ligase
B9J08_002652,"Citrate synthase, C-terminal domain | domain-containing protein"
B9J08_002653,Exonuclease V - a 5' deoxyribonuclease | domain-containing protein
B9J08_002654,unspecified product
B9J08_002655,unspecified product
B9J08_002656,unspecified product
B9J08_002657,Zinc-binding dehydrogenase | Alcohol dehydrogenase GroES-like domain | domain-containing protein
B9J08_002659,Sugar (and other) transporter | domain-containing protein
B9J08_002660,Sugar (and other) transporter | domain-containing protein
B9J08_002661,XRN 5'-3' exonuclease N-terminus | Xrn1 helical domain | domain-containing protein
B9J08_002662,Diacylglycerol kinase catalytic domain | domain-containing protein
B9J08_002663,Major Facilitator Superfamily | domain-containing protein
B9J08_002664,unspecified product
B9J08_002665,PIN domain | domain-containing protein
B9J08_002666,Amino acid permease | domain-containing protein
B9J08_002667,"Nuclear pore complex scaffold, nucleoporins 186/192/205 | domain-containing protein"
B9J08_002668,Cytochrome P450 | domain-containing protein
B9J08_002669,phosphoenolpyruvate carboxykinase (ATP)
B9J08_002670,Glycosyl hydrolase family 3 N terminal domain | domain-containing protein
B9J08_002671,XPG I-region | domain-containing protein
B9J08_002672,peptidylprolyl isomerase
B9J08_002673,"E3 ubiquitin-protein ligase listerin, RING-type E3 ubiquitin transferase"
B9J08_002674,Fungal Zn(2)-Cys(6) binuclear cluster domain | Fungal specific transcription factor domain | domain-containing protein
B9J08_002675,"DNA helicase Pif1, 2B domain | PIF1-like helicase | domain-containing protein"
B9J08_002676,Diaphanous GTPase-binding Domain | Formin Homology 2 Domain | Diaphanous FH3 Domain | domain-containing protein
B9J08_002677,"formate-tetrahydrofolate ligase, methenyltetrahydrofolate cyclohydrolase, methylenetetrahydrofolate dehydrogenase (NADP+)"
B9J08_002678,NAD(P)H-binding | domain-containing protein
B9J08_002679,Enhancer of polycomb-like | domain-containing protein
B9J08_002680,"WD domain, G-beta repeat | domain-containing protein"
B9J08_002681,unspecified product
B9J08_002682,mitogen-activated protein kinase
B9J08_002683,Aminotransferase class I and II | domain-containing protein
B9J08_002684,NDT80 / PhoG like DNA-binding  family | domain-containing protein
B9J08_002685,Major Facilitator Superfamily | domain-containing protein
B9J08_002686,Fungal specific transcription factor domain | domain-containing protein
B9J08_002687,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_002688,formate dehydrogenase
B9J08_002689,succinate dehydrogenase
B9J08_002690,"Putative serine dehydratase domain | Alanine racemase, N-terminal domain | domain-containing protein"
B9J08_002691,nitric oxide dioxygenase
B9J08_002692,Nitronate monooxygenase | domain-containing protein
B9J08_002693,39S ribosomal protein L53/MRP-L53 | domain-containing protein
B9J08_002694,TENA/THI-4/PQQC family | domain-containing protein
B9J08_002695,unspecified product
B9J08_002696,DnaJ domain | domain-containing protein
B9J08_002697,SIT4 phosphatase-associated protein | domain-containing protein
B9J08_002698,Inhibitor of Apoptosis domain | domain-containing protein
B9J08_002699,V-ATPase subunit H | V-ATPase subunit H | domain-containing protein
B9J08_002701,Elongation factor Tu GTP binding domain | GTP-eEF1A C-terminal domain-like | HBS1 N-terminus | domain-containing protein
B9J08_002702,SNARE-complex protein Syntaxin-18 N-terminus | domain-containing protein
B9J08_002703,O-methyltransferase | domain-containing protein
B9J08_002704,SYF2 splicing factor | domain-containing protein
B9J08_002705,unspecified product
B9J08_002706,ABC transporter transmembrane region | ABC transporter | domain-containing protein
B9J08_002707,sterol 3beta-glucosyltransferase
B9J08_002708,alpha/beta hydrolase fold | domain-containing protein
B9J08_002709,unspecified product
B9J08_002710,Fungal specific transcription factor domain | Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_002711,"WD domain, G-beta repeat | domain-containing protein"
B9J08_002712,protein disulfide-isomerase
B9J08_002713,Tim17/Tim22/Tim23/Pmp24 family | domain-containing protein
B9J08_002714,La domain | domain-containing protein
B9J08_002715,HCO3- transporter integral membrane domain | domain-containing protein
B9J08_002717,Asparaginase | domain-containing protein
B9J08_002718,Ribosomal protein L24e | domain-containing protein
B9J08_002719,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family | domain-containing protein
B9J08_002720,DASH complex subunit Spc34 | domain-containing protein
B9J08_002721,N6-L-threonylcarbamoyladenine synthase
B9J08_002722,unspecified product
B9J08_002723,PH domain | domain-containing protein
B9J08_002724,Replication factor C C-terminal domain | ATPase family associated with various cellular activities (AAA) | domain-containing protein
B9J08_002725,Stretch-activated Ca2+-permeable channel component | domain-containing protein
B9J08_002726,unspecified product
B9J08_002727,unspecified product
B9J08_002728,Transcription factor subunit Med10 of Mediator complex | domain-containing protein
B9J08_002729,unspecified product
B9J08_002730,unspecified product
B9J08_002731,unspecified product
B9J08_002732,Glycolipid transfer protein (GLTP) | domain-containing protein
B9J08_002733,Complex1_LYR-like | domain-containing protein
B9J08_002734,unspecified product
B9J08_002735,unspecified product
B9J08_002736,RING-type E3 ubiquitin transferase
B9J08_002737,Aldehyde dehydrogenase family | domain-containing protein
B9J08_002738,WSC domain | domain-containing protein
B9J08_002739,unspecified product
B9J08_002740,"Cut8, nuclear proteasome tether protein | domain-containing protein"
B9J08_002741,"BING4CT (NUC141) domain | WD domain, G-beta repeat | domain-containing protein"
B9J08_002742,dihydroorotate dehydrogenase (quinone)
B9J08_002743,DASH complex subunit Dam1 | domain-containing protein
B9J08_002744,GET complex subunit GET2 | domain-containing protein
B9J08_002745,SURF1 family | domain-containing protein
B9J08_002746,"NOP5NT (NUC127) domain | snoRNA binding domain, fibrillarin | domain-containing protein"
B9J08_002747,Perilipin protein | domain-containing protein
B9J08_002748,Fungal Zn(2)-Cys(6) binuclear cluster domain | Fungal specific transcription factor domain | domain-containing protein
B9J08_002749,Ubiquitin-conjugating enzyme | domain-containing protein
B9J08_002750,Bromodomain associated | Bromodomain | domain-containing protein
B9J08_002751,Regulator of chromosome condensation (RCC1) repeat | domain-containing protein
B9J08_002752,"6-O-methylguanine DNA methyltransferase, DNA binding domain | domain-containing protein"
B9J08_002753,unspecified product
B9J08_002754,unspecified product
B9J08_002755,MSS51 C-terminal domain | Zinc-finger of mitochondrial splicing suppressor 51 | domain-containing protein
B9J08_002756,Glucosidase II beta subunit-like protein | domain-containing protein
B9J08_002757,unspecified product
B9J08_002758,PSP | Domain of unknown function (DUF382) | domain-containing protein
B9J08_002759,"NADH-ubiquinone oxidoreductase subunit G, C-terminal | 2Fe-2S iron-sulfur cluster binding domain | NADH-ubiquinone oxidoreductase-G iron-sulfur binding region | NADH-ubiquinone oxidoreductase NDSU1/NuoG-like, 4Fe-4S domain | NADH-quinone oxidoreductase subunit 3, ferredoxin-like domain | Molybdopterin oxidoreductase | domain-containing protein"
B9J08_002760,ER membrane protein complex subunit 10 | domain-containing protein
B9J08_002761,chitinase
B9J08_002762,Myo-inositol-1-phosphate synthase | Myo-inositol-1-phosphate synthase | domain-containing protein
B9J08_002763,AMP-binding enzyme | domain-containing protein
B9J08_002764,"Asparaginase, N-terminal | Glutaminase/Asparaginase C-terminal domain | domain-containing protein"
B9J08_002765,Cytochrome oxidase c subunit VIb | domain-containing protein
B9J08_002766,"Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit | domain-containing protein"
B9J08_002767,proteasome endopeptidase complex
B9J08_002768,"Activator of Hsp90 ATPase, N-terminal | Activator of Hsp90 ATPase homolog 1-like protein | domain-containing protein"
B9J08_002769,"S-(hydroxymethyl)glutathione dehydrogenase, alcohol dehydrogenase"
B9J08_002770,Isocitrate/isopropylmalate dehydrogenase | domain-containing protein
B9J08_002771,phosphoribosylglycinamide formyltransferase 1
B9J08_002772,"Elongation factor Tu GTP binding domain | Elongation factor Tu domain 2 | Elongation factor G, domain IV | Elongation Factor G, domain III | Elongation factor G C-terminus | domain-containing protein"
B9J08_002773,unspecified product
B9J08_002774,"Copper amine oxidase, N2 domain | Copper amine oxidase, N3 domain | Copper amine oxidase, enzyme domain | domain-containing protein"
B9J08_002775,Protein arginine N-methyltransferase SFM1-like | domain-containing protein
B9J08_002776,Domain of unknown function (DUF7131) | DDHD domain | WWE domain | domain-containing protein
B9J08_002777,unspecified product
B9J08_002778,threonine-tRNA ligase
B9J08_002779,Ribosomal protein L14p/L23e | domain-containing protein
B9J08_002780,"FAD binding domain | FAD linked oxidases, C-terminal domain | domain-containing protein"
B9J08_002781,AMP-binding enzyme | domain-containing protein
B9J08_002782,Flavin reductase like domain | domain-containing protein
B9J08_002783,3-dehydroquinate dehydratase
B9J08_002784,Proteasome assembly chaperone 2
B9J08_002785,Transcription factor AFT | domain-containing protein
B9J08_002786,Ribosomal protein L7/L12 dimerisation domain | Ribosomal protein L7/L12 C-terminal domain | domain-containing protein
B9J08_002787,RNA polymerases M/15 Kd subunit | Transcription factor S-II (TFIIS) | domain-containing protein
B9J08_002788,Protein kinase domain | domain-containing protein
B9J08_002789,Natural resistance-associated macrophage protein-like | domain-containing protein
B9J08_002790,unspecified product
B9J08_002791,haloacid dehalogenase-like hydrolase | domain-containing protein
B9J08_002792,Protein kinase domain | domain-containing protein
B9J08_002793,Ring finger domain | Helicase conserved C-terminal domain | SNF2-related domain | domain-containing protein
B9J08_002794,Replication protein A C terminal | OB-fold nucleic acid binding domain | domain-containing protein
B9J08_002795,Major Facilitator Superfamily | domain-containing protein
B9J08_002796,unspecified product
B9J08_002797,unspecified product
B9J08_002798,Fatty acid desaturase | Cytochrome b5-like Heme/Steroid binding domain | domain-containing protein
B9J08_002799,CBS domain | domain-containing protein
B9J08_002800,RNA recognition motif | domain-containing protein
B9J08_002801,HIT zinc finger | domain-containing protein
B9J08_002802,"Ribosomal protein L9, N-terminal domain | domain-containing protein"
B9J08_002803,Inactive serine-threonine protein kinase 19 | domain-containing protein
B9J08_002804,PAT complex subunit CCDC47 | domain-containing protein
B9J08_002805,Ankyrin repeats (many copies) | domain-containing protein
B9J08_002806,Peptidase M76 family | domain-containing protein
B9J08_002807,"MBOAT, membrane-bound O-acyltransferase family | domain-containing protein"
B9J08_002808,Methyltransferase domain | Methyltransferase involved in Williams-Beuren syndrome | domain-containing protein
B9J08_002809,Ribosomal protein L19 | domain-containing protein
B9J08_002810,LSM domain | domain-containing protein
B9J08_002811,unspecified product
B9J08_002813,ABC transporter | Four helical bundle domain | Elongation factor 3/GNC1 HEAT repeat | EF3 N-terminal HEAT repeat | domain-containing protein
B9J08_002814,Lysophospholipase catalytic domain | domain-containing protein
B9J08_002815,Ammonium Transporter Family | domain-containing protein
B9J08_002816,Mitochondrial carrier protein | domain-containing protein
B9J08_002817,Erg28 like protein | domain-containing protein
B9J08_002818,Regulatory subunit of type II PKA R-subunit | Cyclic nucleotide-binding domain | domain-containing protein
B9J08_002819,Hsp70 protein | domain-containing protein
B9J08_002820,"Not1 N-terminal domain, CCR4-Not complex component | domain-containing protein"
B9J08_002821,Pex2 / Pex12 amino terminal region | domain-containing protein
B9J08_002822,Initiation factor 2 subunit family | domain-containing protein
B9J08_002823,"P5A-ATPase, transmembrane helical hairpin | Cation transport ATPase (P-type) | E1-E2 ATPase | domain-containing protein"
B9J08_002824,DNA replication factor Cdt1 C-terminal domain | domain-containing protein
B9J08_002825,unspecified product
B9J08_002826,valine-tRNA ligase
B9J08_002827,"snoRNA binding domain, fibrillarin | Prp31 C terminal domain | domain-containing protein"
B9J08_002828,"3' exoribonuclease family, domain 1 | 3' exoribonuclease family, domain 2 | domain-containing protein"
B9J08_002829,non-specific serine/threonine protein kinase
B9J08_002830,short chain dehydrogenase | domain-containing protein
B9J08_002831,GPR1/FUN34/yaaH family | domain-containing protein
B9J08_002832,SNF2-related domain | Helicase conserved C-terminal domain | domain-containing protein
B9J08_002833,Sucrase/ferredoxin-like | domain-containing protein
B9J08_002834,KilA-N domain | domain-containing protein
B9J08_002835,Bap31/Bap29 transmembrane region | Bap31/Bap29 cytoplasmic coiled-coil domain | domain-containing protein
B9J08_002836,CorA-like Mg2+ transporter protein | domain-containing protein
B9J08_002837,Transcriptional Coactivator p15 (PC4) | domain-containing protein
B9J08_002838,"Fes/CIP4, and EFC/F-BAR homology domain | SH3 domain | Aldo/keto reductase family | domain-containing protein"
B9J08_002839,SBF-like CPA transporter family (DUF4137) | domain-containing protein
B9J08_002840,"Zinc finger, C2H2 type | domain-containing protein"
B9J08_002841,unspecified product
B9J08_002842,Eisosome protein 1 | domain-containing protein
B9J08_002843,unspecified product
B9J08_002844,Actin | domain-containing protein
B9J08_002845,ATP dependent DNA ligase domain | DNA ligase N terminus | ATP dependent DNA ligase C terminal region | domain-containing protein
B9J08_002846,Acyltransferase | domain-containing protein
B9J08_002847,short chain dehydrogenase | MaoC like domain | MFE-2 hydratase 2 N-terminal domain | domain-containing protein
B9J08_002848,protein-tyrosine-phosphatase
B9J08_002849,Protein kinase domain | domain-containing protein
B9J08_002850,Histone deacetylase domain | domain-containing protein
B9J08_002851,Proteasome subunit A N-terminal signature | Proteasome subunit | domain-containing protein
B9J08_002852,Ergosterol biosynthesis ERG4/ERG24 family | domain-containing protein
B9J08_002853,Fungal Zn(2)-Cys(6) binuclear cluster domain | Fungal specific transcription factor domain | domain-containing protein
B9J08_002854,Pumilio-family RNA binding repeat | domain-containing protein
B9J08_002855,"E1-E2 ATPase | Cation transporter/ATPase, N-terminus | haloacid dehalogenase-like hydrolase | domain-containing protein"
B9J08_002856,Chitin synthase N-terminal | Chitin synthase | domain-containing protein
B9J08_002857,"Vps8 RING zinc finger, fungal | Vps8 beta-propeller | Vps8 central TPR | domain-containing protein"
B9J08_002858,emp24/gp25L/p24 family/GOLD | domain-containing protein
B9J08_002859,"WD domain, G-beta repeat | domain-containing protein"
B9J08_002860,Forkhead domain | FHA domain | domain-containing protein
B9J08_002861,RSE1/DDB1/CPSF1 second beta-propeller | CPSF A subunit region | RSE1/DDB1/CPSF1 first beta-propeller | domain-containing protein
B9J08_002862,Cytochrome c oxidase assembly protein PET191 | domain-containing protein
B9J08_002863,Pyridoxal-dependent decarboxylase conserved domain | domain-containing protein
B9J08_002864,Major Facilitator Superfamily | domain-containing protein
B9J08_002865,RAVE protein 1 C terminal | domain-containing protein
B9J08_002867,Carbon-nitrogen hydrolase | domain-containing protein
B9J08_002868,RBR-type E3 ubiquitin transferase
B9J08_002869,Hyaluronan / mRNA binding family | domain-containing protein
B9J08_002870,ethanolamine-phosphate cytidylyltransferase
B9J08_002871,Domain of unknown function (DUF4112) | domain-containing protein
B9J08_002872,Zinc finger C-x8-C-x5-C-x3-H type (and similar) | RING-type zinc-finger | domain-containing protein
B9J08_002874,Glycosyl transferases group 1 | domain-containing protein
B9J08_002875,"impB/mucB/samB family C-terminal domain | DNA polymerase-iota, thumb domain | BRCT domain | impB/mucB/samB family | domain-containing protein"
B9J08_002876,EF-hand domain pair | domain-containing protein
B9J08_002877,Meiotic cell cortex C-terminal pleckstrin homology | domain-containing protein
B9J08_002878,Phenazine biosynthesis-like protein | domain-containing protein
B9J08_002879,dolichyl-phosphate-mannose-protein mannosyltransferase
B9J08_002881,Core histone H2A/H2B/H3/H4 | domain-containing protein
B9J08_002882,Phosphatidylethanolamine-binding protein | domain-containing protein
B9J08_002883,Mitosis protein DIM1 | domain-containing protein
B9J08_002884,unspecified product
B9J08_002885,"dihydroorotase, homodimeric type"
B9J08_002886,Sugar (and other) transporter | Major Facilitator Superfamily | domain-containing protein
B9J08_002887,Histidine phosphatase superfamily (branch 1) | domain-containing protein
B9J08_002888,poly(A)-specific ribonuclease
B9J08_002889,Endonuclease/Exonuclease/phosphatase family | domain-containing protein
B9J08_002890,DNA-(apurinic or apyrimidinic site) lyase
B9J08_002891,Fungal Zn(2)-Cys(6) binuclear cluster domain | Fungal specific transcription factor domain | domain-containing protein
B9J08_002892,Methyltransferase domain | domain-containing protein
B9J08_002893,GlcNAc-PI de-N-acetylase | domain-containing protein
B9J08_002894,Actin | domain-containing protein
B9J08_002895,Arrestin_N terminal like | domain-containing protein
B9J08_002896,Protein kinase domain | domain-containing protein
B9J08_002897,"DNA replication regulator SLD3, STD domain | domain-containing protein"
B9J08_002898,TAF6 C-terminal HEAT repeat domain | TATA box binding protein associated factor (TAF) | domain-containing protein
B9J08_002899,unspecified product
B9J08_002900,unspecified product
B9J08_002901,Amino acid permease | Solute carrier family 12 | domain-containing protein
B9J08_002902,unspecified product
B9J08_002903,RNA helicase
B9J08_002904,Enoyl-CoA hydratase/isomerase | domain-containing protein
B9J08_002905,Mitochondrial ATPase expression | domain-containing protein
B9J08_002906,SecE/Sec61-gamma subunits of protein translocation complex | domain-containing protein
B9J08_002907,"Nucleolar protein,Nop52 | domain-containing protein"
B9J08_002908,Pre-mRNA splicing Prp18-interacting factor | domain-containing protein
B9J08_002909,Vta1 like | Vta1 C-terminal domain | domain-containing protein
B9J08_002910,Flavinator of succinate dehydrogenase | domain-containing protein
B9J08_002911,EF-hand domain pair | EF-hand domain | domain-containing protein
B9J08_002912,unspecified product
B9J08_002913,Zinc-finger of C2H2 type | Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11) | domain-containing protein
B9J08_002914,Phosphoadenosine phosphosulfate reductase domain | domain-containing protein
B9J08_002915,Helix-loop-helix DNA-binding domain | domain-containing protein
B9J08_002916,Mtf2 family | domain-containing protein
B9J08_002917,unspecified product
B9J08_002918,Mycolic acid cyclopropane synthetase | domain-containing protein
B9J08_002919,malate synthase
B9J08_002920,Glutaredoxin | domain-containing protein
B9J08_002921,Ribosomal protein S17 | Ribosomal_S17 N-terminal | domain-containing protein
B9J08_002922,Anaphase-promoting complex subunit 9 | domain-containing protein
B9J08_002923,LSM domain | domain-containing protein
B9J08_002924,Fungal Zn(2)-Cys(6) binuclear cluster domain | domain-containing protein
B9J08_002925,unspecified product
B9J08_002926,ABC1 atypical kinase-like domain | domain-containing protein
B9J08_002927,rRNA processing | domain-containing protein
B9J08_002928,Transmembrane amino acid transporter protein | domain-containing protein
B9J08_002929,Timeless protein | domain-containing protein
